ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv0853c,pdc,Probable pyruvate or indole-3-pyruvate decarboxylase Pdc,26,25,1,0,0,26,0,0.884615385,130.9130435,NE
Rv0854,-,hypothetical protein,7,7,0,0,0,7,0,1,248.5714286,NE
Rv0855,far,Probable fatty-acid-CoA racemase Far,14,12,2,0,0,14,0,0.857142857,215.5,NE
Rv0856,-,hypothetical protein,5,5,0,0,0,5,0,1,135,NE
Rv0857,-,hypothetical protein,9,7,2,0,0,9,0,1,116.1111111,NE
Rv0858c,dapC,Probable N-succinyldiaminopimelate aminotransferase DapC (DAP-at),22,21,1,0,0,22,0,0.954545455,93.47619048,NE
Rv0859,fadA,Possible acyl-CoA thiolase FadA,9,9,0,0,0,9,0,1,58.44444444,NE
Rv0860,fadB,Probable fatty oxidation protein FadB,27,25,2,0,0,27,0,0.925925926,23.04,NE
Rv0861c,ercc3,DNA helicase Ercc3,27,26,1,0,0,27,0,0.925925926,44.6,NE
Rv0862c,-,hypothetical protein,30,27,3,0,0,30,0,0.8,53.20833333,NE
Rv0863,-,hypothetical protein,7,6,1,0,0,7,0,0.857142857,207.8333333,NE
Rv0864,moaC2,Probable molybdenum cofactor biosynthesis protein C 2 MoaC2,11,10,1,0,0,11,0,1,177.4545455,NE
Rv0865,mog,Probable molybdopterin biosynthesis Mog protein,8,8,0,0,0,8,0,1,197.625,NE
Rv0866,moaE2,"Probable molybdenum cofactor biosynthesis protein E2 MoaE2 (molybdopterin converting factor large subunit) (molybdopterin [MPT] converting factor, subunit 2)",4,3,1,0,0,4,0,1,118.75,NE
Rv0867c,rpfA,Possible resuscitation-promoting factor RpfA,12,10,2,0,0,10,2,1,291.9166667,NE
Rv0868c,moaD2,"Probable molybdenum cofactor biosynthesis protein D 2 MoaD2 (molybdopterin converting factor small subunit) (molybdopterin [MPT] converting factor, subunit 1)",7,6,1,0,0,7,0,1,268.4285714,NE
Rv0869c,moaA2,Probable molybdenum cofactor biosynthesis protein A2 MoaA2,15,13,2,0,0,15,0,0.933333333,151.4285714,NE
Rv0870c,-,Possible conserved integral membrane protein,6,6,0,0,0,6,0,1,172.1666667,NE
Rv0871,cspB,Probable cold shock-like protein B CspB,5,4,1,0,0,5,0,0.8,156.25,NE
Rv0872c,PE_PGRS15,PE-PGRS family protein PE_PGRS15,28,21,7,0,0,26,2,0.821428571,150.5217391,NE
Rv0873,fadE10,Probable acyl-CoA dehydrogenase FadE10,35,31,4,0,0,32,3,0.942857143,152.9090909,NE
Rv0874c,-,hypothetical protein,10,8,2,0,0,10,0,0.7,276.4285714,NE
Rv0875c,-,Possible conserved exported protein,12,10,2,0,0,12,0,0.916666667,9.818181818,NE
Rv0876c,-,Possible conserved transmembrane protein,26,25,1,0,0,26,0,0.923076923,75.5,NE
Rv0877,-,hypothetical protein,16,15,1,0,0,1,15,1,422.3125,GA
Rv0878c,PPE13,PPE family protein PPE13,19,19,0,0,0,3,16,1,212.2105263,GA
Rv0879c,-,Possible conserved transmembrane protein,4,4,0,0,0,4,0,0.75,61,NE
Rv0880,-,Possible transcriptional regulatory protein (possibly MarR-family),1,1,0,0,0,1,0,1,39,Uncertain
Rv0881,-,Possible rRNA methyltransferase (rRNA methylase),15,13,2,0,0,15,0,1,71.2,NE
Rv0882,-,Probable transmembrane protein,2,1,1,0,0,2,0,1,42,NE
Rv0883c,-,hypothetical protein,7,6,1,5,0,2,0,0.285714286,4,ES
Rv0884c,serC,Possible phosphoserine aminotransferase SerC (PSAT),13,11,2,12,0,1,0,0.076923077,191,ES
Rv0885,-,hypothetical protein,15,12,3,0,0,15,0,0.8,93.16666667,NE
Rv0886,fprB,Probable NADPH:adrenodoxin oxidoreductase FprB (adrenodoxin reductase) (AR) (ferredoxin-NADP(+) reductase),26,23,3,0,0,26,0,0.884615385,91.17391304,NE
Rv0887c,-,hypothetical protein,5,5,0,0,0,5,0,1,44.8,NE
Rv0888,-,Probable exported protein,31,27,4,0,0,31,0,0.903225806,203.9642857,NE
Rv0889c,citA,Probable citrate synthase II CitA,13,11,2,0,0,13,0,0.923076923,89.33333333,NE
Rv0890c,-,Probable transcriptional regulatory protein (probably LuxR-family),48,44,4,0,0,48,0,0.958333333,172.326087,NE
Rv0891c,-,Possible transcriptional regulatory protein,25,24,1,0,0,25,0,1,99.88,NE
Rv0892,-,Probable monooxygenase,43,40,3,0,0,43,0,0.860465116,33.18918919,NE
Rv0893c,-,Possible S-adenosylmethionine-dependent methyltransferase,25,22,3,0,0,25,0,0.8,18.95,NE
Rv0894,-,Possible transcriptional regulatory protein (possibly LuxR-family),18,15,3,0,0,18,0,0.666666667,48,NE
Rv0895,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),29,26,3,0,0,29,0,0.965517241,96.53571429,NE
Rv0896,gltA2,Probable citrate synthase I GltA2,29,25,4,0,28,1,0,0.275862069,1.75,GD
Rv0897c,-,Probable oxidoreductase,21,20,1,0,0,21,0,0.904761905,50.73684211,NE
Rv0898c,-,hypothetical protein,2,2,0,0,0,2,0,1,78,Uncertain
Rv0899,ompA,Outer membrane protein A OmpA,20,18,2,0,0,20,0,0.9,48.88888889,NE
Rv0900,-,Possible membrane protein,2,2,0,0,0,2,0,1,52,NE
Rv0901,-,Possible conserved exported or membrane protein,9,9,0,0,0,9,0,1,94.33333333,NE
Rv0902c,prrB,Two component sensor histidine kinase PrrB,15,14,1,12,0,3,0,0.2,95.66666667,ES
Rv0903c,prrA,Two component response transcriptional regulatory protein PrrA,10,10,0,9,0,1,0,0.1,91,ES
Rv0904c,accD3,Putative acetyl-coenzyme A carboxylase carboxyl transferase (subunit beta) AccD3 (accase beta chain),25,21,4,0,0,25,0,0.88,35.36363636,NE
Rv0905,echA6,Possible enoyl-CoA hydratase EchA6 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),10,8,2,0,0,10,0,1,52.1,NE
Rv0906,-,hypothetical protein,16,12,4,0,0,16,0,0.8125,78.38461538,NE
Rv0907,-,hypothetical protein,40,37,3,0,0,40,0,0.95,50.86842105,NE
Rv0908,ctpE,Probable metal cation transporter ATPase P-type CtpE,31,27,4,0,0,31,0,0.903225806,83.10714286,NE
Rv0909,-,hypothetical protein,3,3,0,0,0,3,0,1,225.6666667,NE
Rv0910,-,hypothetical protein,7,6,1,0,0,7,0,0.857142857,63.66666667,NE
Rv0911,-,hypothetical protein,16,16,0,0,0,16,0,1,68.5625,NE
Rv0912,-,Probable conserved transmembrane protein,5,5,0,0,0,5,0,1,86.6,NE
Rv0913c,-,Possible dioxygenase,41,39,2,0,0,41,0,0.829268293,34.47058824,NE
Rv0914c,-,Possible lipid carrier protein or keto acyl-CoA thiolase,17,16,1,0,0,17,0,1,84.23529412,NE
Rv0915c,PPE14,PPE family protein PPE14,20,19,1,0,0,20,0,1,119.95,NE
Rv0916c,PE7,PE family protein PE7,6,5,1,0,0,6,0,1,66,NE
Rv0917,betP,Possible glycine betaine transport integral membrane protein BetP,42,38,4,0,0,42,0,0.928571429,140.1025641,NE
Rv0918,-,hypothetical protein,8,8,0,0,0,8,0,1,72,NE
Rv0919,-,GCN5-related N-acetyltransferase,10,9,1,0,0,10,0,1,186.5,NE
Rv0920c,-,Probable transposase,22,21,1,0,0,22,0,0.954545455,65.95238095,NE
Rv0921,-,Possible resolvase,7,7,0,0,0,7,0,1,171.1428571,NE
Rv0922,-,Possible transposase,18,17,1,0,0,18,0,1,188.4444444,NE
Rv0923c,-,hypothetical protein,22,19,3,0,0,22,0,0.909090909,120.55,NE
Rv0924c,mntH,Divalent cation-transport integral membrane protein MntH (BRAMP) (MRAMP),20,20,0,0,0,20,0,1,92.65,NE
Rv0925c,-,hypothetical protein,18,16,2,0,0,18,0,0.888888889,128.75,NE
Rv0926c,-,hypothetical protein,21,20,1,0,0,21,0,0.952380952,83.2,NE
Rv0927c,-,Probable short-chain type dehydrogenase/reductase,6,6,0,0,0,6,0,1,91.5,NE
Rv0928,pstS3,Periplasmic phosphate-binding lipoprotein PstS3 (PBP-3) (PstS3) (PHOS1),22,21,1,0,0,22,0,1,137.1818182,NE
Rv0929,pstC2,Phosphate-transport integral membrane ABC transporter PstC2,17,16,1,0,0,17,0,1,111.7058824,NE
Rv0930,pstA1,Probable phosphate-transport integral membrane ABC transporter PstA1,17,17,0,0,0,17,0,0.941176471,158.75,NE
Rv0931c,pknD,Transmembrane serine/threonine-protein kinase D PknD (protein kinase D) (STPK D),46,44,2,0,0,16,30,1,269.3043478,GA
Rv0932c,pstS2,Periplasmic phosphate-binding lipoprotein PstS2 (PBP-2) (PstS2),25,25,0,0,0,25,0,1,166.08,NE
Rv0933,pstB,Phosphate-transport ATP-binding protein ABC transporter PstB,12,11,1,0,0,12,0,1,73.16666667,NE
Rv0934,pstS1,Periplasmic phosphate-binding lipoprotein PstS1 (PBP-1) (PstS1),22,20,2,0,0,22,0,0.954545455,157.952381,NE
Rv0935,pstC1,Phosphate-transport integral membrane ABC transporter PstC1,12,11,1,0,0,12,0,0.916666667,170.4545455,NE
Rv0936,pstA2,Phosphate-transport integral membrane ABC transporter PstA2,20,18,2,0,0,20,0,0.95,74.68421053,NE
Rv0937c,mku,"DNA end-binding protein, Mku",12,11,1,0,0,12,0,0.833333333,40.1,NE
Rv0938,ligD,ATP dependent DNA ligase LigD (ATP dependent polydeoxyribonucleotide synthase) (thermostable DNA ligase) (ATP dependent polynucleotide ligase) (sealase) (DNA repair enzyme) (DNA joinase),43,34,9,0,0,43,0,0.744186047,61.21875,NE
Rv0939,-,"Possible bifunctional enzyme: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (HHDD isomerase) + cyclase/dehydrase",32,28,4,0,0,32,0,0.9375,41.93333333,NE
Rv0940c,-,Possible oxidoreductase,16,16,0,0,0,16,0,0.875,53.35714286,NE
Rv0941c,-,hypothetical protein,9,8,1,0,0,9,0,1,108.3333333,NE
Rv0942,-,Hypothetical protein,8,7,1,0,0,8,0,1,101.125,NE
Rv0943c,-,Probable monooxygenase,17,13,4,0,0,17,0,1,117.4117647,NE
Rv0944,-,Possible formamidopyrimidine-DNA glycosylase (FAPY-DNA glycosylase),9,8,1,0,0,9,0,1,97.77777778,NE
Rv0945,-,Probable short-chain type dehydrogenase/reductase,8,7,1,0,1,7,0,0.625,27.4,NE
Rv0946c,pgi,Probable glucose-6-phosphate isomerase Pgi (GPI) (phosphoglucose isomerase) (phosphohexose isomerase) (phi),20,17,3,0,14,6,0,0.9,11.66666667,GD
Rv0948c,-,Chorismate mutase,7,7,0,5,0,2,0,0.285714286,114,ES
Rv0949,uvrD1,Probable ATP-dependent DNA helicase II UvrD1,45,40,5,0,15,30,0,0.8,23.58333333,NE
Rv0950c,-,hypothetical protein,21,18,3,0,0,21,0,0.952380952,127.15,NE
Rv0951,sucC,Probable succinyl-CoA synthetase (beta chain) SucC (SCS-beta),16,12,4,16,0,0,0,0,0,ES
Rv0952,sucD,Probable succinyl-CoA synthetase (alpha chain) SucD (SCS-alpha),12,12,0,11,0,1,0,0.083333333,9,ES
Rv0953c,-,Possible oxidoreductase,14,14,0,0,0,14,0,1,94.14285714,NE
Rv0954,-,Probable conserved transmembrane protein,29,27,2,0,0,29,0,0.896551724,103.3076923,NE
Rv0955,-,Probable conserved integral membrane protein,19,17,2,0,0,19,0,1,84.84210526,NE
Rv0956,purN,Probable 5'-phosphoribosylglycinamide formyltransferase PurN (GART) (gar transformylase) (5'-phosphoribosylglycinamide transformylase),15,15,0,13,0,2,0,0.133333333,35.5,ES
Rv0957,purH,Probable bifunctional purine biosynthesis protein PurH: phosphoribosylaminoimidazolecarboxamide formyltransferase (AICAR transformylase) (5'-phosphoribosyl-5-aminoimidazole-4-carboxamide formyltransferase) + inosinemonophosphate cyclohydrolase (imp cyclohydrolase) (inosinicase) (imp synthetase) (ATIC),24,23,1,24,0,0,0,0.083333333,1,ES
Rv0958,-,Possible magnesium chelatase,16,14,2,0,0,16,0,0.875,123.7857143,NE
Rv0959,-,hypothetical protein,20,20,0,0,0,20,0,0.9,49,NE
Rv0959A,vapB9,Possible antitoxin VapB9,3,2,1,0,0,3,0,1,190.6666667,NE
Rv0960,vapC9,Possible toxin VapC9,7,5,2,0,0,7,0,1,122.7142857,NE
Rv0961,-,Probable integral membrane protein,7,5,2,0,0,7,0,0.857142857,111.1666667,NE
Rv0962c,lprP,Possible lipoprotein LprP,15,15,0,0,0,15,0,1,162.2,NE
Rv0963c,-,hypothetical protein,11,11,0,0,0,11,0,1,146.9090909,NE
Rv0964c,-,Hypothetical protein,5,5,0,0,0,5,0,1,88.8,NE
Rv0965c,-,hypothetical protein,7,7,0,0,0,7,0,1,125.7142857,NE
Rv0966c,-,hypothetical protein,10,10,0,0,0,10,0,1,91.2,NE
Rv0967,csoR,Copper-sensitive operon repressor CsoR,1,1,0,0,0,1,0,1,291,Uncertain
Rv0968,-,hypothetical protein,6,5,1,0,0,6,0,1,214,NE
Rv0969,ctpV,Probable metal cation transporter P-type ATPase CtpV,21,17,4,0,0,21,0,0.904761905,133.2105263,NE
Rv0970,-,Probable conserved integral membrane protein,12,11,1,0,0,12,0,1,144.1666667,NE
Rv0971c,echA7,Probable enoyl-CoA hydratase EchA7 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),7,7,0,0,0,7,0,0.857142857,59.83333333,NE
Rv0972c,fadE12,Acyl-CoA dehydrogenase FadE12,18,16,2,0,0,18,0,0.833333333,24.2,NE
Rv0973c,accA2,Probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA2: biotin carboxylase + biotin carboxyl carrier protein (BCCP),25,25,0,0,0,25,0,0.84,23,NE
Rv0974c,accD2,Probable acetyl-/propionyl-CoA carboxylase (beta subunit) AccD2,20,18,2,0,0,20,0,0.75,16.73333333,NE
Rv0975c,fadE13,Probable acyl-CoA dehydrogenase FadE13,20,17,3,0,0,20,0,0.9,111.3888889,NE
Rv0976c,-,hypothetical protein,20,20,0,0,0,20,0,0.95,75.26315789,NE
Rv0977,PE_PGRS16,PE-PGRS family protein PE_PGRS16,32,25,7,0,0,14,18,0.90625,269.4137931,GA
Rv0978c,PE_PGRS17,PE-PGRS family protein PE_PGRS17,10,8,2,0,0,0,10,0.9,278.6666667,GA
Rv0979c,-,Hypothetical protein,2,1,1,0,0,0,2,1,4,GA
Rv0979A,rpmF,50S ribosomal protein L32 RpmF,2,2,0,0,0,0,2,0.5,1,Uncertain
Rv0980c,PE_PGRS18,PE-PGRS family protein PE_PGRS18,17,14,3,0,0,0,17,0.941176471,237.625,GA
Rv0981,mprA,Mycobacterial persistence regulator MRPA (two component response transcriptional regulatory protein),11,10,1,0,0,0,11,0.909090909,175,GA
Rv0982,mprB,Two component sensor kinase MprB,23,17,6,21,0,2,0,0.130434783,329,ES
Rv0983,pepD,Probable serine protease PepD (serine proteinase) (MTB32B),19,14,5,0,0,19,0,1,74.94736842,NE
Rv0984,moaB2,Possible pterin-4-alpha-carbinolamine dehydratase MoaB2 (PHS) (4-alpha-hydroxy-tetrahydropterin dehydratase) (pterin-4-a-carbinolamine dehydratase) (phenylalanine hydroxylase-stimulating protein) (PHS) (pterin carbinolamine dehydratase) (PCD),5,3,2,0,0,5,0,0.8,135.75,NE
Rv0985c,mscL,Possible large-conductance ion mechanosensitive channel MscL,10,9,1,0,0,10,0,0.9,221.1111111,NE
Rv0986,-,Probable adhesion component transport ATP-binding protein ABC transporter,25,24,1,0,0,25,0,0.88,77.59090909,NE
Rv0987,-,Probable adhesion component transport transmembrane protein ABC transporter,94,92,2,0,15,79,0,0.861702128,39.88888889,NE
Rv0988,-,Possible conserved exported protein,41,40,1,0,0,41,0,0.756097561,22.58064516,NE
Rv0989c,grcC2,Probable polyprenyl-diphosphate synthase GrcC2 (polyprenyl pyrophosphate synthetase),19,18,1,0,0,19,0,1,119.1052632,NE
Rv0990c,-,Hypothetical protein,8,4,4,0,0,8,0,0.875,102.5714286,NE
Rv0991c,-,Conserved serine rich protein,3,3,0,0,0,3,0,1,243.3333333,NE
Rv0992c,-,hypothetical protein,6,6,0,0,0,6,0,1,162.8333333,NE
Rv0993,galU,UTP--glucose-1-phosphate uridylyltransferase GalU (UDP-glucose pyrophosphorylase) (UDPGP) (alpha-D-glucosyl-1-phosphate uridylyltransferase) (uridine diphosphoglucose pyrophosphorylase),15,14,1,14,0,1,0,0.066666667,243,ES
Rv0994,moeA1,Probable molybdopterin biosynthesis protein MoeA1,14,12,2,0,0,14,0,0.928571429,84.46153846,NE
Rv0995,rimJ,Ribosomal-protein-alanine acetyltransferase RimJ (acetylating enzyme for N-terminal of ribosomal protein S5),6,6,0,0,0,6,0,1,73.16666667,NE
Rv0996,-,Probable conserved transmembrane protein,18,17,1,0,0,18,0,1,158.6111111,NE
Rv0997,-,Hypothetical protein,7,6,1,0,0,7,0,0.857142857,161.6666667,NE
Rv0998,-,hypothetical protein,13,9,4,0,0,13,0,0.769230769,56.8,NE
Rv0999,-,hypothetical protein,11,11,0,0,0,11,0,1,194.8181818,NE
Rv1000c,-,hypothetical protein,9,9,0,0,0,9,0,1,269,NE
Rv1001,arcA,Probable arginine deiminase ArcA (adi) (ad) (arginine dihydrolase),21,19,2,0,0,21,0,1,124.6666667,NE
Rv1002c,-,hypothetical protein,24,23,1,0,20,4,0,0.791666667,4.473684211,GD
Rv1003,-,hypothetical protein,9,8,1,0,0,9,0,0.888888889,46.125,NE
Rv1004c,-,Probable membrane protein,13,11,2,0,0,13,0,0.923076923,120.5,NE
Rv1005c,pabB,Probable para-aminobenzoate synthase component I PABD,25,16,9,22,0,0,3,0.12,1405.333333,ES
Rv1006,-,hypothetical protein,42,37,5,0,0,0,42,1,219.452381,GA
Rv1007c,metS,Methionyl-tRNA synthetase MetS (MetRS) (methionine--tRNA ligase),31,30,1,31,0,0,0,0,0,ES
Rv1008,tatD,Probable deoxyribonuclease TatD (YJJV protein),13,13,0,0,0,0,13,1,210.9230769,GA
Rv1009,rpfB,Probable resuscitation-promoting factor RpfB,12,10,2,0,0,12,0,0.916666667,100.2727273,NE
Rv1010,ksgA,"Probable dimethyladenosine transferase KsgA (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase) (16S rRNA dimethylase) (high level kasugamycin resistance protein KsgA) (kasugamycin dimethyltransferase)",12,11,1,0,0,12,0,1,29,NE
Rv1011,ispE,Probable 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase IspE (CMK) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),13,12,1,13,0,0,0,0,0,ES
Rv1012,-,Hypothetical protein,6,4,2,0,0,6,0,0.833333333,129.2,NE
Rv1013,pks16,Putative polyketide synthase Pks16,22,22,0,0,0,22,0,1,232.1818182,NE
Rv1014c,pth,Probable peptidyl-tRNA hydrolase Pth,12,12,0,11,0,1,0,0.083333333,29,ES
Rv1015c,rplY,50S ribosomal protein L25 RplY,11,11,0,2,8,0,1,0.636363636,10.85714286,GD
Rv1016c,lpqT,Probable conserved lipoprotein LpqT,7,5,2,0,0,0,7,1,202.2857143,GA
Rv1017c,prsA,Probable ribose-phosphate pyrophosphokinase PrsA (phosphoribosyl pyrophosphate synthetase) (PRPP synthetase),13,12,1,12,0,0,1,0.153846154,75,ES
Rv1018c,glmU,Probable UDP-N-acetylglucosamine pyrophosphorylase GlmU,24,23,1,24,0,0,0,0.041666667,1,ES
Rv1019,-,Probable transcriptional regulatory protein (probably TetR-family),9,9,0,0,0,9,0,1,108.5555556,NE
Rv1020,mfd,Probable transcription-repair coupling factor Mfd (TRCF),40,37,3,0,0,40,0,0.925,145.4324324,NE
Rv1021,-,hypothetical protein,14,12,2,0,0,14,0,0.857142857,105.3333333,NE
Rv1022,lpqU,Probable conserved lipoprotein LpqU,15,14,1,0,0,15,0,0.933333333,66.21428571,NE
Rv1023,eno,Probable enolase Eno,17,14,3,0,16,1,0,0.647058824,10.09090909,GD
Rv1024,-,Possible conserved membrane protein,8,8,0,8,0,0,0,0,0,ES
Rv1025,-,hypothetical protein,7,6,1,5,0,2,0,0.285714286,2,ES
Rv1026,-,hypothetical protein,9,8,1,0,0,9,0,0.777777778,10.42857143,NE
Rv1027c,kdpE,Probable transcriptional regulatory protein KdpE,12,10,2,0,0,12,0,0.75,30.77777778,NE
Rv1028c,kdpD,Probable sensor protein KdpD,28,23,5,0,0,28,0,0.892857143,46.6,NE
Rv1028A,kdpF,Probable membrane protein KdpF,3,3,0,0,0,3,0,1,26,NE
Rv1029,kdpA,Probable potassium-transporting ATPase a chain KdpA (potassium-translocating ATPase a chain) (ATP phosphohydrolase [potassium-transporting] a chain) (potassium binding and translocating subunit A),28,27,1,0,0,28,0,0.964285714,104.962963,NE
Rv1030,kdpB,Probable potassium-transporting P-type ATPase B chain KdpB (potassium-translocating ATPase B chain) (ATP phosphohydrolase [potassium-transporting] B chain) (potassium binding and translocating subunit B),15,13,2,0,0,15,0,1,94,NE
Rv1031,kdpC,Probable potassium-transporting ATPase C chain KdpC (potassium-translocating ATPase C chain) (ATP phosphohydrolase [potassium-transporting] C chain) (potassium binding and translocating subunit C),10,9,1,0,0,10,0,0.9,86.22222222,NE
Rv1032c,trcS,Two component sensor histidine kinase TrcS,25,21,4,0,0,25,0,0.96,117.7916667,NE
Rv1033c,trcR,Two component transcriptional regulator TrcR,15,15,0,0,0,3,12,1,375.4666667,GA
Rv1034c,-,Probable transposase (fragment),3,3,0,0,0,3,0,1,17.66666667,NE
Rv1035c,-,Probable transposase (fragment),5,5,0,0,0,5,0,1,49,NE
Rv1036c,-,Probable IS1560 transposase (fragment),5,4,1,0,0,5,0,1,189.8,NE
Rv1037c,esxI,Putative ESAT-6 like protein EsxI (ESAT-6 like protein 1),5,5,0,0,0,5,0,1,204.6,NE
Rv1038c,esxJ,ESAT-6 like protein EsxJ (ESAT-6 like protein 2),3,3,0,0,0,3,0,1,224.6666667,NE
Rv1039c,PPE15,PPE family protein PPE15,24,23,1,0,0,24,0,0.958333333,196,NE
Rv1040c,PE8,PE family protein PE8,9,9,0,0,0,9,0,1,143.3333333,NE
Rv1041c,-,Probable is like-2 transposase,19,18,1,0,0,19,0,1,130.5789474,NE
Rv1042c,-,Probable is like-2 transposase,6,5,1,0,0,6,0,1,65.83333333,NE
Rv1043c,-,hypothetical protein,15,12,3,0,0,0,15,1,250.1333333,GA
Rv1044,-,hypothetical protein,13,13,0,11,0,2,0,0.153846154,170.5,ES
Rv1045,-,Hypothetical protein,12,11,1,0,0,12,0,1,175.1666667,NE
Rv1046c,-,Hypothetical protein,5,5,0,0,0,5,0,1,265,NE
Rv1047,-,Probable transposase,17,14,3,0,0,17,0,1,106.8235294,NE
Rv1048c,-,Hypothetical protein,24,23,1,0,0,24,0,0.916666667,140.1363636,NE
Rv1049,-,Probable transcriptional repressor protein,4,3,1,0,0,4,0,1,177.75,NE
Rv1050,-,Probable oxidoreductase,12,11,1,0,0,12,0,0.916666667,48.63636364,NE
Rv1051c,-,hypothetical protein,8,8,0,0,0,8,0,0.75,65.5,NE
Rv1052,-,Hypothetical protein,7,7,0,0,0,7,0,1,120.4285714,NE
Rv1053c,-,Hypothetical protein,7,7,0,0,0,7,0,1,90,NE
Rv1054,-,Probable integrase (fragment),5,4,1,0,0,5,0,1,57.6,NE
Rv1055,-,Possible integrase (fragment),3,3,0,0,0,3,0,1,21.33333333,NE
Rv1056,-,hypothetical protein,23,22,1,0,0,23,0,1,141.4347826,NE
Rv1057,-,hypothetical protein,20,18,2,0,0,20,0,1,199.2,NE
Rv1058,fadD14,Probable medium chain fatty-acid-CoA ligase FadD14 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),30,27,3,0,0,30,0,0.9,100.1481481,NE
Rv1059,-,hypothetical protein,10,10,0,0,0,10,0,1,38.4,NE
Rv1060,-,hypothetical protein,5,4,1,0,0,5,0,1,46.6,NE
Rv1061,-,hypothetical protein,14,12,2,0,0,14,0,1,125.7142857,NE
Rv1062,-,hypothetical protein,6,6,0,0,0,6,0,1,89.33333333,NE
Rv1063c,-,hypothetical protein,15,12,3,0,0,15,0,1,123.3333333,NE
Rv1064c,lpqV,Possible lipoprotein LpqV,7,6,1,0,0,7,0,1,101.1428571,NE
Rv1065,-,hypothetical protein,10,10,0,0,0,10,0,1,168.4,NE
Rv1066,-,hypothetical protein,5,3,2,0,0,5,0,0.8,58.75,NE
Rv1067c,PE_PGRS19,PE-PGRS family protein PE_PGRS19,16,11,5,0,0,16,0,0.8125,71.30769231,NE
Rv1068c,PE_PGRS20,PE-PGRS family protein PE_PGRS20,14,9,5,0,0,14,0,0.857142857,145.4166667,NE
Rv1069c,-,hypothetical protein,21,20,1,0,0,21,0,1,260.9047619,NE
Rv1070c,echA8,Probable enoyl-CoA hydratase EchA8 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),8,7,1,0,0,8,0,1,136,NE
Rv1071c,echA9,Possible enoyl-CoA hydratase EchA9 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),13,12,1,0,0,13,0,1,171,NE
Rv1072,-,Probable conserved transmembrane protein,18,18,0,0,0,18,0,1,100.5,NE
Rv1073,-,hypothetical protein,19,17,2,0,0,5,14,0.947368421,255.5555556,GA
Rv1074c,fadA3,Probable beta-ketoacyl CoA thiolase FadA3,11,11,0,0,0,2,9,1,316.6363636,GA
Rv1075c,-,Conserved exported protein,19,15,4,0,0,19,0,1,122.2631579,NE
Rv1076,lipU,Possible lipase LipU,22,20,2,0,0,22,0,0.772727273,125.4705882,NE
Rv1077,cbs,Probable cystathionine beta-synthase Cbs (serine sulfhydrase) (beta-thionase) (hemoprotein H-450),28,26,2,0,0,28,0,0.964285714,153.8518519,NE
Rv1078,pra,Probable proline-rich antigen homolog Pra,18,16,2,0,0,18,0,1,90,NE
Rv1079,metB,Cystathionine gamma-synthase MetB (CGS) (O-succinylhomoserine [thiol]-lyase),19,16,3,0,0,19,0,0.842105263,90.3125,NE
Rv1080c,greA,Probable transcription elongation factor GreA (transcript cleavage factor GreA),10,10,0,0,0,10,0,1,66.2,NE
Rv1081c,-,Probable conserved membrane protein,7,6,1,0,0,7,0,0.857142857,6,NE
Rv1082,mca,Mycothiol conjugate amidase Mca (mycothiol S-conjugate amidase),13,11,2,0,0,13,0,1,119.6153846,NE
Rv1083,-,hypothetical protein,4,3,1,0,0,4,0,1,50.25,NE
Rv1084,-,hypothetical protein,27,25,2,0,0,27,0,0.888888889,84.04166667,NE
Rv1085c,-,Possible hemolysin-like protein,11,11,0,0,0,11,0,1,207.2727273,NE
Rv1086,-,Short (C15) chain Z-isoprenyl diphosphate synthase (Z-FPP synthase) (Z-farnesyl diphosphate synthase) (Z-FPP synthetase) (Z-farnesyl diphosphate synthetase) (geranyltranstransferase) (farnesyl pyrophosphate synthetase),15,14,1,0,0,15,0,1,18,NE
Rv1087,PE_PGRS21,PE-PGRS family protein PE_PGRS21,22,21,1,0,0,22,0,1,83.72727273,NE
Rv1087A,-,hypothetical protein,8,8,0,0,0,0,8,1,259.25,GA
Rv1088,PE9,PE family protein PE9,6,4,2,0,0,6,0,1,98.66666667,NE
Rv1089,PE10,PE family protein PE10,5,5,0,0,0,5,0,1,28.6,NE
Rv1089A,celA2a,"Probable cellulase CelA2a (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)",2,2,0,0,0,2,0,1,198,NE
