#Command: python3 Fitness_Esimation.py demodata/out/H37Rv_expected_counts.csv demodata/H37Rv/H37RvBD1.prot_table demodata/out/H37Rv_gumbel_gene_predictions.csv
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,M0 Fitness Estimation,M1 Fitness Estimation,Mean Actual Count,TTN-Fitness Assesment
Rv0399c,lpqK,POSSIBLE CONSERVED LIPOPROTEIN LPQK ,25,23,True,-0.23129019502915005,0.19433423228686958,-0.44261421792450073,3.962281513109594e-05,-0.4727208116224785,-0.2588144408851424,55.288000000000004,GD
Rv0400c,fadE7,ACYL-CoA DEHYDROGENASE FADE7 ,11,10,True,-0.37512583038477026,0.16093086439575627,-0.13624155185132628,0.4492489966547953,-0.5420590876579925,-0.30521947281896405,46.08181818181818,NE
Rv0401,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,3,3,True,-0.3748686053547287,0.4847955230858644,0.016405112748719766,0.9679108672098073,-0.5582957214588529,-0.30987029187874415,47.86666666666667,NE
Rv0402c,mmpL1,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL1 ,56,56,True,0.24582417754482735,0.029895656514841457,0.07858387434497004,0.31617289509233437,-0.33913398072590967,-0.07745527309391534,124.1267857142857,NE
Rv0403c,mmpS1,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS1 ,7,7,True,0.2554299323593003,0.46867902136079626,0.11436820482358247,0.6281047393124471,-0.25635465706658217,-0.12402344861916653,104.89999999999999,NE
Rv0404,fadD30,acyl-CoA synthetase ,87,72,True,-0.5971977074470093,6.191444169971586e-14,-0.7093299341889514,4.0297811507424964e-39,-0.6062868313148595,-0.4102608946214029,31.231034482758613,GD
Rv0405,pks6,PROBABLE MEMBRANE BOUND POLYKETIDE SYNTHASE PKS6 ,121,92,True,-0.6246944032869883,7.286015155763963e-21,-0.6767469842603656,1.5961470334526437e-49,-0.872358943958401,-0.6663311492382584,53.86694214876034,GD
Rv0406c,-,BETA LACTAMASE LIKE PROTEIN ,15,14,True,0.06701933874597905,0.7953250717763701,-0.07651440954383032,0.6354477834035548,-0.4067840566009563,-0.20513253171983184,95.66666666666666,NE
Rv0407,fgd1,PROBABLE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD1 ,20,20,True,0.3530195177136453,0.06727687673276982,0.1775424766034134,0.16519239688879953,-0.14201112080771525,0.01088683536416705,101.105,NE
Rv0408,pta,phosphate acetyltransferase ,43,42,True,-0.10591588412116154,0.4549374150440797,-0.22357796769565305,0.00802085618610902,-0.38272054903592956,-0.09951923259318327,60.383720930232556,GD
Rv0409,ackA,acetate kinase ,17,17,True,-0.01257315609028674,0.9603050010606854,-0.07284197178451747,0.6301378146563342,-0.4465657715547079,-0.18874862037966236,87.05294117647058,NE
Rv0410c,pknG,SERINE/THREONINE-PROTEIN KINASE PKNG (PROTEIN KINASE G) (STPK G) ,32,31,True,-0.17207405056305464,0.27939592974679334,-0.18954619625971575,0.05729628485149737,-0.2473120429175559,-0.030544239992285404,37.8375,NE
Rv0411c,glnH,PROBABLE GLUTAMINE-BINDING LIPOPROTEIN GLNH (GLNBP) ,9,9,True,0.0025772450095542005,0.9933863308220737,0.016024777137368645,0.9433784305145128,-0.2080453074776761,0.10557815253386754,52.077777777777776,NE
Rv0412c,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,23,22,True,-0.046758168328306426,0.8234485316612227,0.015002698395006972,0.9140044583879576,-0.22458595509793572,0.038276121435499834,48.19999999999999,NE
Rv0413,mutT3,"POSSIBLE MUTATOR PROTEIN MUTT3 (7,8-DIHYDRO-8-OXOGUANINE-TRIPHOSPHATASE) (8-OXO-DGTPASE) (DGTP PYROPHOSPHOHYDROLASE) ",7,7,True,0.5484620523167146,0.0976814179995556,0.4228998397219949,0.04646958303521491,-0.1725878474925566,0.022790252258476203,170.55714285714285,GA
Rv0414c,thiE,thiamine-phosphate pyrophosphorylase ,10,1,False,,,,,,,9.5,ES
Rv0415,thiO,POSSIBLE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE THIO ,12,1,False,,,,,,,0.008333333333333333,ES
Rv0416,thiS,sulfur carrier protein ThiS ,4,0,False,,,,,,,0.0,ESB
Rv0417,thiG,thiazole synthase ,16,2,False,,,,,,,0.018750000000000003,ES
Rv0418,lpqL,PROBABLE LIPOPROTEIN AMINOPEPTIDASE LPQL ,28,26,True,-0.0878794535170485,0.6233597780214852,-0.08885082723186742,0.4307339415606953,-0.27904926521895607,-0.07920590781994413,49.61785714285714,NE
Rv0419,lpqM,POSSIBLE LIPOPROTEIN PEPTIDASE LPQM ,20,19,True,0.2482152789418086,0.21411527628310165,0.20628411685748763,0.10513312409426645,-0.29574263361257236,-0.08041367956562435,112.95,NE
Rv0420c,-,POSSIBLE TRANSMEMBRANE PROTEIN ,10,10,True,0.3481454266658416,0.21841319638635404,0.20400947049223594,0.2682168595166529,-0.3314399511667332,-0.14161962753688023,154.63,NE
Rv0421c,-,hypothetical protein Rv0421c ,10,9,True,-0.40875071546716785,0.1431251330514588,-0.07483362249209563,0.710918404728436,-0.5890729805719026,-0.43632441706204755,47.38,NE
Rv0422c,thiD,phosphomethylpyrimidine kinase ,14,1,False,,,,,,,0.03571428571428571,ES
Rv0423c,thiC,thiamine biosynthesis protein ThiC ,22,2,False,,,,,,,0.7454545454545454,ES
Rv0424c,-,hypothetical protein Rv0424c ,9,9,True,0.5228363632944836,0.06921031186286544,0.43470144897148133,0.019543766046379082,-0.2927035873961967,-0.06867622578588119,211.95555555555558,GA
Rv0425c,ctpH,POSSIBLE METAL CATION TRANSPORTING P-TYPE ATPASE CTPH ,39,38,True,0.028819025153423158,0.8605381206234333,0.26540985850823234,0.0025161020731216273,-0.3847995443708234,-0.11896237723023392,83.18461538461537,GA
Rv0426c,-,POSSIBLE TRANSMEMBRANE PROTEIN ,3,3,True,0.8318027692242588,0.10006452380005838,0.3548790493504579,0.2945197438980046,-0.011410701559219635,0.024595274018061844,226.4333333333333,NE
Rv0427c,xthA,PROBABLE EXODEOXYRIBONUCLEASE III PROTEIN XTHA (EXONUCLEASE III) (EXO III) (AP ENDONUCLEASE VI) ,14,13,True,0.1480880124431863,0.5554645677423321,-0.11999774562323642,0.4531825856642929,-0.2796209009855467,-0.10568591704984806,86.22857142857144,NE
Rv0428c,-,hypothetical protein Rv0428c ,17,15,True,-0.049005637928684294,0.841075129135143,0.2488435355165375,0.06925775179096832,-0.4682569152613489,-0.21185183927447565,84.02941176470588,NE
Rv0429c,def,peptide deformylase ,10,2,False,,,,,,,31.939999999999998,ES
Rv0430,-,hypothetical protein Rv0430 ,4,0,False,,,,,,,0.0,ESB
Rv0431,-,PUTATIVE TUBERCULIN RELATED PEPTIDE ,10,8,True,-0.08595780562149775,0.7834217752633449,-0.08741910009347505,0.6602714671711136,-0.6481514286966135,-0.35937981752560877,116.6,NE
Rv0432,sodC,PROBABLE PERIPLASMIC SUPEROXIDE DISMUTASE ,14,14,True,0.36428193467745723,0.12041641654910257,0.3698895793680771,0.012697467080898764,-0.16161538258139602,-0.06612450751876744,108.57142857142857,GA
Rv0433,-,hypothetical protein Rv0433 ,24,23,True,0.23633952196137945,0.19406825140165887,0.35268964233091865,0.0015914073673343667,-0.28681788423963317,0.03374665394332514,107.64166666666665,GA
Rv0434,-,hypothetical protein Rv0434 ,14,14,True,0.3425220832980334,0.14680801822245568,0.48873402196610805,0.0007882652339231624,-0.41472893182223897,-0.03599469333914161,184.89285714285714,GA
Rv0435c,-,PUTATIVE CONSERVED ATPASE ,24,24,True,0.3105903176505264,0.07991241813831843,0.3378242988957029,0.002580343258622464,-0.2919636801603087,-0.052484512697970206,129.41666666666666,GA
Rv0436c,pssA,PROBABLE CDP-DIACYLGLYCEROL--SERINE O-PHOSPHATIDYLTRANSFERASE PSSA (PS SYNTHASE) (PHOSPHATIDYLSERINE SYNTHASE) ,17,17,True,0.16629268755342783,0.4611351071875623,0.14421695724951678,0.3105917648345274,-0.15107075107857382,-0.01010253696029355,66.91176470588235,NE
Rv0437c,psd,phosphatidylserine decarboxylase ,8,7,True,-0.42729954379965635,0.1742029224432225,-0.05845941612555186,0.7959358277406601,-0.6624747243057459,-0.13446190044886672,53.662499999999994,NE
Rv0438c,moeA2,PROBABLE MOLYBDOPTERIN BIOSYNTHESIS PROTEIN MOEA2 ,15,15,True,0.24781274401952677,0.2862892445663216,0.4069709662690062,0.004154448804266355,-0.2558747446953008,-0.09054602826374555,102.94666666666669,GA
Rv0439c,-,short chain dehydrogenase ,19,18,True,0.3113392085663224,0.12205988966864215,0.4496839924041089,0.00030647486402585547,-0.3476078369638739,-0.07186526230250369,147.36315789473684,GA
Rv0440,groEL,chaperonin GroEL ,13,2,False,,,,,,,0.07692307692307693,ES
Rv0441c,-,hypothetical protein Rv0441c ,10,10,True,0.4736841886103103,0.08566060409571723,0.5706024968199346,0.0009246506368760589,-0.36392299180638155,-0.15698938823495673,222.88000000000002,GA
Rv0442c,PPE10,PPE FAMILY PROTEIN ,25,24,True,0.2108281529569541,0.24008751709052475,0.3992323614006982,0.00022931014570338673,-0.3894882748848927,-0.14177134850875103,128.5,GA
Rv0443,-,hypothetical protein Rv0443 ,16,16,True,0.572682346510337,0.0055507897578702245,0.6193543899887799,3.178210224970664e-06,-0.32309471395975514,-0.07688260880945966,255.09375,GA
Rv0444c,-,hypothetical protein Rv0444c ,9,9,True,0.19002769736761624,0.5434382671526051,0.3980821911300589,0.033240835497027596,-0.23451343018407703,-0.02962780184337004,85.68888888888888,GA
Rv0445c,sigK,RNA polymerase sigma factor SigK ,10,9,True,0.30012571079325656,0.291656108153333,0.22130517880194298,0.22632778647487647,-0.4832836396326223,-0.1465804945533704,196.23,NE
Rv0446c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,17,17,True,0.46537555785794654,0.023043302114455325,0.4063944977386068,0.0022357154711623514,-0.18201620712791758,-0.004766521257671531,143.8176470588235,GA
Rv0447c,ufaA1,PROBABLE CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE UFAA1 (CYCLOPROPANE FATTY ACID SYNTHASE) (CFA SYNTHASE) ,27,26,True,0.4181351236219976,0.009027973316117559,0.3347233499656262,0.0014676046790727787,-0.3469855917943767,-0.08311937773386482,188.48518518518514,GA
Rv0448c,-,hypothetical protein Rv0448c ,16,16,True,0.5988362450429833,0.003538561225423072,0.41831009353031035,0.00226354519813408,-0.1251594830197262,0.01915496292597831,171.8,GA
Rv0449c,-,hypothetical protein Rv0449c ,23,23,True,0.349625452824721,0.05001871399618438,0.17125184598284202,0.14988462189872948,-0.2535230985906986,-0.1100840457919126,129.6782608695652,NE
Rv0450c,mmpL4,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL4 ,84,80,True,-0.20040896643649828,0.03018558098039936,-0.2525350686693755,1.652328030294487e-05,-0.44106854002387386,-0.2509952883103469,55.291666666666664,GD
Rv0451c,mmpS4,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS4 ,15,15,True,-0.342734310081977,0.13190219149364618,-0.6730495209969534,9.14979452355318e-07,-0.28900448279926017,-0.1720299417067106,27.8,GD
Rv0452,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,10,True,0.4396433029850502,0.11318803144097964,0.5779404907670597,0.0007989032861771725,-0.25389775423760885,-0.14264364322504067,159.89000000000001,GA
Rv0453,PPE11,PPE FAMILY PROTEIN ,24,22,True,0.2746398796154143,0.12615748652246447,0.32861805847097325,0.0033988344485696475,-0.47414606166702966,-0.21327221306982944,181.10833333333332,GA
Rv0454,-,hypothetical protein Rv0454 ,7,7,True,0.7880362067035727,0.012456025518725471,0.7183649700701071,0.0004746610699325743,-0.10502844039375818,0.02952338209535824,253.91428571428574,GA
Rv0455c,-,hypothetical protein Rv0455c ,11,10,True,-0.7158830348242128,0.0038851433815217194,-0.8739171075232701,3.497039112211308e-08,-0.5658246946134193,-0.3934841217845854,21.209090909090907,GD
Rv0456c,echA2,enoyl-CoA hydratase ,11,11,True,0.39887682262479274,0.13338282550197647,0.3970601073665406,0.01799627983057475,-0.2024064481080213,0.022794997205000663,129.21818181818182,GA
Rv0456A,-,hypothetical protein Rv0456A ,4,3,True,0.09636638230589445,0.8489388650111975,0.21409058451490082,0.4771630758676369,-0.520965339766191,-0.3079657139631912,133.25,NE
Rv0457c,-,PROBABLE PEPTIDASE ,39,35,True,-0.04877179771789044,0.7575918915524366,-0.05273991942765708,0.5939778112625803,-0.5024699438606506,-0.26778383146971246,90.96666666666667,NE
Rv0458,-,PROBABLE ALDEHYDE DEHYDROGENASE ,23,23,True,0.3582793729702825,0.04391103286992182,0.35727516570326795,0.0017449668884943587,-0.303440294198413,-0.11111815417225655,148.4217391304348,GA
Rv0459,-,hypothetical protein Rv0459 ,6,6,True,0.23020087817850746,0.5478333277042605,0.5173669802840803,0.023154266406418586,-0.33517741788330735,-0.1512517998700871,118.61666666666667,GA
Rv0460,-,CONSERVED HYDROPHOBIC PROTEIN ,3,3,True,0.46138717553955594,0.38136062193714787,0.43137391068562786,0.19327447438423406,-0.11183563911425363,-0.0168847707727324,121.23333333333333,NE
Rv0461,-,PROBABLE TRANSMEMBRANE PROTEIN ,17,17,True,0.7729147118302069,5.24029943918536e-05,0.5097237652867486,0.00010127480566705823,-0.15242135878227409,0.05288216533064193,273.47647058823526,GA
Rv0462,lpd,dihydrolipoamide dehydrogenase ,27,24,True,-0.8993971029353003,5.232308523883923e-10,-0.9833617504934888,5.34255426718786e-24,-0.29299161886601827,-0.09677118100506235,7.0777777777777775,GD
Rv0463,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,4,4,True,0.5202410584278446,0.24623884211221023,0.5126330797614527,0.0694893401506287,-0.31463589217794335,0.04951593092939737,221.60000000000002,NE
Rv0464c,-,hypothetical protein Rv0464c ,15,15,True,0.16664450874946587,0.48777057651681915,0.1630611990505508,0.2792514896026878,-0.48660069407429,-0.2529889539160711,145.00666666666666,NE
Rv0465c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,28,27,True,0.4971966019856009,0.0011693289507884981,0.2963786140248084,0.004425838432445702,-0.2995716463888422,-0.023265281904000498,202.93214285714288,GA
Rv0466,-,hypothetical protein Rv0466 ,8,8,True,0.6323818625814436,0.03507314255583979,0.4409934134983738,0.02570591818121642,-0.23672186601763898,0.24364005945198805,240.025,GA
Rv0467,icl,isocitrate lyase ,20,15,True,-1.0053580507517463,2.6068979621990818e-09,-1.0455685708194735,3.2421474729978384e-20,-0.8204545869845008,-0.562832957183847,17.964999999999996,GD
Rv0468,fadB2,3-hydroxybutyryl-CoA dehydrogenase ,13,12,True,0.16404603582774602,0.5280713618407911,0.20312871522272374,0.20334209649268561,-0.38124227883561024,-0.20563599765475743,113.08461538461538,NE
Rv0469,umaA,POSSIBLE MYCOLIC ACID SYNTHASE UMAA ,25,24,True,0.1155717274569089,0.5381704699403276,-0.12773857142763825,0.2742908669057219,-0.35974493812119823,-0.20706069295857016,96.13600000000001,NE
Rv0470c,pcaA,MYCOLIC ACID SYNTHASE PCAA (CYCLOPROPANE SYNTHASE) ,12,12,True,0.2459475120175315,0.3474021924924219,0.07859263447699438,0.6656897644814646,-0.054984228321932754,0.030192547341417963,64.54166666666667,NE
Rv0470A,-,hypothetical protein Rv0470A ,10,10,True,0.6758318439655647,0.010296118531827688,0.5737348365811371,0.0008811580368179966,-0.2604899765395793,0.05348305703036187,280.3,GA
Rv0471c,-,hypothetical protein Rv0471c ,12,12,True,0.7351276305990012,0.0017502766809949321,0.6014450734004203,0.00011560024979895397,-0.29942958738483383,-0.02490812765559512,351.59166666666664,GA
Rv0472c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,11,11,True,0.29383794195008395,0.27859439700008054,0.29333185833528924,0.08570436307484362,-0.223202630934033,0.026262489296087755,106.25454545454545,NE
Rv0473,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,16,16,True,0.6066013825004621,0.0030906623725011767,0.7188733684513153,4.3622148798961365e-08,-0.26872878657831295,0.014532829812495266,243.4375,GA
Rv0474,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,8,8,True,0.7561854325908225,0.010225229440483345,0.7131136903022063,0.00019767303347475846,-0.14290459991618715,0.06420117792566069,257.4125,GA
Rv0475,hbhA,IRON-REGULATED HEPARIN BINDING HEMAGGLUTININ HBHA (ADHESIN) ,10,10,True,0.48118007373829014,0.07990249357580066,0.4551458233967989,0.009298675629781894,-0.12336186540474163,-0.03265550123482091,130.32999999999998,GA
Rv0476,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,7,6,True,0.4886388421790312,0.143077637089134,0.4186923157340484,0.048840726488505466,-0.3516226253528094,-0.14915002424050694,224.28571428571428,GA
Rv0477,-,POSSIBLE CONSERVED SECRETED PROTEIN ,6,6,True,0.9156851282329906,0.006727980728040439,0.6317904571575302,0.004950505228085519,-0.23275872925287902,-0.0851240138631797,457.45,GA
Rv0478,deoC,deoxyribose-phosphate aldolase ,3,3,True,0.2607516932485135,0.6342509990505414,0.5060373313776009,0.12353639108769725,-0.2893965348102175,-0.1371289632607092,114.60000000000001,NE
Rv0479c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,13,4,True,-1.5679444401271148,2.2923462109911864e-14,-1.534579490462358,5.425271080950503e-28,,,7.615384615384615,GD
Rv0480c,-,POSSIBLE AMIDOHYDROLASE ,16,15,True,0.3106644645472963,0.16136937923284644,0.3221227774388584,0.021181573923707685,-0.3194630287116406,-0.10316830599605231,137.9,GA
Rv0481c,-,hypothetical protein Rv0481c ,11,11,True,0.5460789388091665,0.03245152130573823,0.640842930737448,8.11736322195597e-05,-0.2284846329161528,-0.06629053648147813,192.9181818181818,GA
Rv0482,murB,UDP-N-acetylenolpyruvoylglucosamine reductase ,14,3,False,,,,,,,32.642857142857146,ES
Rv0483,lprQ,PROBABLE CONSERVED LIPOPROTEIN LPRQ ,28,28,True,0.746969283121372,2.56444507354743e-07,0.6127154395803092,4.5803430967046684e-10,-0.26850593814206963,-0.05728452505816685,336.50357142857143,GA
Rv0484c,-,PROBABLE SHORT-CHAIN TYPE OXIDOREDUCTASE ,11,10,True,0.2933452544610104,0.27939592974679334,0.5366311958033477,0.0011059374574498365,-0.3847954813565714,-0.11078591979042038,153.97272727272727,GA
Rv0485,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,23,23,True,0.35550708032551814,0.0458114547425488,0.4675941446103426,2.9535507477351765e-05,-0.23591295011141927,0.044915613450233344,126.23478260869564,GA
Rv0486,-,MANNOSYLTRANSFERASE ,13,13,True,-0.24412300145051108,0.3324650651043729,-0.3592786364253452,0.020209201958515232,-0.2161415913120776,-0.06008925758660558,29.707692307692305,GD
Rv0487,-,hypothetical protein Rv0487 ,10,10,True,0.7609126870132906,0.003385701352538185,0.5078299958804728,0.0034590469741254304,-0.12359481458715962,0.07021536128552935,248.92,GA
Rv0488,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,9,9,True,0.6000789919034079,0.03375223363573341,0.5723148774628268,0.001698347206167306,-0.041313011210504805,0.12917533412625115,142.04444444444445,GA
Rv0489,gpm1,phosphoglyceromutase ,13,12,True,0.11717766536077605,0.6585778283903597,-0.029316955727203314,0.8728868912869329,-0.26822696377188726,-0.011725446045514743,78.16153846153846,NE
Rv0490,senX3,PUTATIVE TWO COMPONENT SENSOR HISTIDINE KINASE SENX3 ,16,14,True,0.038011110382139224,0.8822704568920196,0.09950336943674165,0.5108605168150601,-0.4910616914554433,-0.252869921324546,108.55,NE
Rv0491,regX3,TWO COMPONENT SENSORY TRANSDUCTION PROTEIN REGX3 (TRANSCRIPTIONAL REGULATORY PROTEIN) (PROBABLY LUXR-FAMILY) ,9,8,True,0.15659885636116808,0.6212768743371325,0.22154858002816927,0.2523658555801454,-0.7785418701045339,-0.3405910712655945,277.44444444444446,NE
Rv0492c,-,PROBABLE OXIDOREDUCTASE GMC-TYPE ,18,17,True,0.27168099210823426,0.1960275674253547,0.35279264195519244,0.006634902608897906,-0.3405866189021205,0.018276515586016215,132.25,GA
Rv0492A,-,hypothetical protein Rv0492A ,5,5,True,0.637088310580253,0.10442572845779352,0.567551570166583,0.02316850386695478,-0.04083923092748847,0.02546985960779771,154.56,GA
Rv0493c,-,hypothetical protein Rv0493c ,17,17,True,0.20861031374195868,0.34344435855345795,0.30204116458022295,0.025859456383015598,-0.38837445581462665,-0.256801695951296,127.51176470588234,GA
Rv0494,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,8,8,True,0.3107499704368872,0.3325394840015114,0.29297881915052887,0.14634384615396936,-0.1579931267065974,0.012957379860396275,95.1,NE
Rv0495c,-,hypothetical protein Rv0495c ,14,14,True,-0.12039097446398576,0.6354539147281972,-0.3513134848678327,0.01827577297165777,-0.2791930090993923,-0.22521075197369841,45.98571428571428,GD
Rv0496,-,hypothetical protein Rv0496 ,8,8,True,0.23973962595794307,0.4667338770717822,0.5022177486808648,0.010378127920367047,-0.2473162007363923,-0.10506564220547886,99.0625,GA
Rv0497,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,15,15,True,0.20131155574044057,0.3957911324712926,0.4624408901909759,0.001026197987208936,-0.26666580112439214,-0.013511612686214779,94.72666666666665,GA
Rv0498,-,hypothetical protein Rv0498 ,12,11,True,0.30677222220031164,0.23607961885899795,0.3930802445720423,0.014211071242664387,-0.42167837147007303,-0.259579914114686,172.92500000000004,GA
Rv0499,-,hypothetical protein Rv0499 ,7,7,True,0.7166618247529647,0.024817661340332087,0.5012119896993872,0.017360206224335942,-0.05475888217392688,0.035898008715842436,191.79999999999998,GA
Rv0500,proC,pyrroline-5-carboxylate reductase ,13,2,False,,,,,,,1.5307692307692309,ES
Rv0500A,-,hypothetical protein Rv0500A ,5,5,True,0.3071253507811386,0.46026125381561067,0.4576116218503316,0.06998533170416696,-0.1800639863206594,-0.0072650346493573145,99.22,NE
Rv0500B,-,hypothetical protein Rv0500B ,2,2,True,0.5412391376303666,0.40555584146167456,0.20839662554528357,0.638131982626236,-0.07701768102134661,-0.011233792216337003,134.6,NE
Rv0501,galE2,POSSIBLE UDP-GLUCOSE 4-EPIMERASE GALE2 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE) ,26,25,True,0.13031475517028696,0.4753485370630219,0.21534833134542725,0.05136472623001068,-0.36469067805312827,-0.21408532989979723,100.63461538461539,NE
Rv0502,-,hypothetical protein Rv0502 ,19,19,True,0.4003152400301715,0.0401773928779727,0.5358309465693437,1.2323935140262913e-05,-0.2989812151709402,-0.06868013160075583,161.93684210526314,GA
Rv0503c,cmaA2,CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE 2 CMAA2 (CYCLOPROPANE FATTY ACID SYNTHASE) (CFA SYNTHASE) (CYCLOPROPANE MYCOLIC ACID SYNTHASE 2) (MYCOLIC ACID TRANS-CYCLOPROPANE SYNTHETASE) ,21,21,True,0.9272953229770338,2.1804622268100146e-08,0.6134291658352556,9.166987496557393e-08,-0.18075586618081954,0.036284304038662826,416.84285714285716,GA
Rv0504c,-,hypothetical protein Rv0504c ,9,9,True,-0.411645917553869,0.16466851413461664,-0.39598016418140053,0.03438025469330581,-0.6465562869551886,-0.39426337224698177,53.711111111111116,GD
Rv0505c,serB1,POSSIBLE PHOSPHOSERINE PHOSPHATASE SERB1 (PSP) (O-PHOSPHOSERINE PHOSPHOHYDROLASE) (PSPASE) ,21,20,True,-0.6477431258825074,0.00019189089879351632,-0.5633485945981948,1.0667491419093559e-06,-0.4221460337019539,-0.19525726190951312,18.04761904761905,GD
Rv0506,mmpS2,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS2 ,9,9,True,0.3687927241751859,0.2158122975599571,0.6094037087660269,0.0007989032861771725,-0.453797519190999,-0.16908503648212153,215.0,GA
Rv0507,mmpL2,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL2 ,81,75,True,-0.10663094813041156,0.2867121300874468,-0.0926194973857222,0.1455428290256088,-0.5925233807999168,-0.29962491299349686,97.72222222222223,NE
Rv0508,-,hypothetical protein Rv0508 ,9,8,True,0.09862159271186587,0.76361940542532,0.11421930515326155,0.5767869085362707,-0.6287851967604808,-0.4820730915186734,171.7,NE
Rv0509,hemA,glutamyl-tRNA reductase ,22,2,False,,,,,,,0.03636363636363637,ES
Rv0510,hemC,porphobilinogen deaminase ,13,2,False,,,,,,,0.6461538461538462,ES
Rv0511,hemD,PROBABLE UROPORPHYRIN-III C-METHYLTRANSFERASE HEMD (UROPORPHYRINOGEN III METHYLASE) (UROGEN III METHYLASE) (SUMT) (UROGEN III METHYLASE) (UROM) ,19,3,False,,,,,,,0.6105263157894737,ES
Rv0512,hemB,delta-aminolevulinic acid dehydratase ,22,2,False,,,,,,,9.345454545454546,ES
Rv0513,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,7,7,True,0.37250825982801355,0.27393236914515107,0.5399864104329206,0.00987518422787914,-0.3290066151305258,-0.25954513291071474,162.70000000000002,GA
Rv0514,-,POSSIBLE TRANSMEMBRANE PROTEIN ,2,2,True,0.20264964882631306,0.7707150624048827,0.667560922822148,0.09598944254455849,-0.7227721875438848,-0.21271378181475292,271.6,NE
Rv0515,-,CONSERVED 13E12 REPEAT FAMILY PROTEIN ,18,18,True,0.7142732839922368,0.0001354352599083797,0.6747031529415216,5.0781187545170224e-08,-0.289767618794838,0.03033085156585075,327.68888888888887,GA
Rv0516c,-,hypothetical protein Rv0516c ,10,10,True,0.5494576245500862,0.04106634268189156,0.366054768092598,0.03934221091228156,-0.2546170496355062,-0.13250980528653492,206.48999999999995,GA
Rv0517,-,POSSIBLE MEMBRANE ACYLTRANSFERASE ,22,22,True,0.7768797877959143,2.491542628168352e-06,0.5297387731879899,2.9642013725440012e-06,-0.16046415397820354,0.01104632961845682,281.15,GA
Rv0518,-,POSSIBLE EXPORTED PROTEIN ,12,11,True,0.4720792194500284,0.0567279895375165,0.36753414893600683,0.02263757484930521,-0.4746150904682147,-0.05394204624376996,286.5166666666667,GA
Rv0519c,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,10,10,True,0.6560430527261527,0.012907709158037139,0.5140700078721501,0.003060875955564886,-0.20102695311874516,-0.018302516935796393,233.51,GA
Rv0520,-,POSSIBLE METHYLTRANSFERASE/METHYLASE (FRAGMENT) ,5,5,True,0.8880420509776958,0.018045382484084802,0.7877251015165515,0.0012532928544822088,-0.13375647372686184,-0.02696836611544125,341.7,GA
Rv0521,-,POSSIBLE METHYLTRANSFERASE/METHYLASE (FRAGMENT) ,6,6,True,0.369967883842718,0.31504489285804155,0.4072444656664549,0.07772362545016363,-0.36527734934226486,-0.1031529540128653,175.83333333333334,NE
