#Gumbel
#Console: python3 /home/grads/s/schoudhery/.local/bin/transit gumbel murray2013_caulobacter_table_S3_remapped.wig Caulobacter_NA1000.prot_table Caulobacter_gumbel.txt
#Data: b'murray2013_caulobacter_table_S3_remapped.wig'
#Annotation path: b'Caulobacter_NA1000.prot_table'
#FDR Corrected thresholds: 0.996100, 0.064400
#MH Acceptance-Rate:	19.91%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.048927
#Time: 153.75576615333557
#Orf	Name	Desc	k	n	r	s	zbar	Call
CCNA_00983	-	hybrid sensor histidine kinase/receiver protein	15	15	0	0	0.000000	NE
CCNA_00984	-	phosphinothricin N-acetyltransferase	8	9	1	2	0.000000	NE
CCNA_00985	ptrB	protease II PtrB	39	39	0	0	0.500800	U
CCNA_00986	-	general stress protein 17O	5	7	2	111	0.000000	NE
CCNA_00987	-	stress response protein CsbD	1	2	1	2	-1.000000	S
CCNA_00988	-	isopenicillin N epimerase	8	9	1	2	0.000000	NE
CCNA_00989	-	acyl esterase protein	30	31	1	2	0.000000	NE
CCNA_00990	-	general stress protein 17O	10	11	1	2	0.000000	NE
CCNA_00991	-	nodulation protein N	4	4	0	0	0.000000	NE
CCNA_00992	-	conserved hypothetical protein	12	13	1	2	0.000000	NE
CCNA_00993	-	long-chain-fatty-acid--CoA ligase	20	20	0	0	0.081900	U
CCNA_00994	-	oxidoreductase, GMC family	21	22	1	2	0.000000	NE
CCNA_00995	-	cytochrome P450 CypX	15	15	0	0	0.000000	NE
CCNA_00996	-	enoyl-CoA hydratase	6	6	0	0	0.000000	NE
CCNA_00997	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_00998	-	ROS/MUCR transcriptional regulator	6	6	0	0	0.000000	NE
CCNA_00999	-	PAS domain protein	8	8	0	0	0.000000	NE
CCNA_01000	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01001	-	ribokinase	2	2	0	0	-1.000000	S
CCNA_01002	fliP	flagellar biosyntheis protein FliP	3	3	0	0	0.000000	NE
CCNA_01003	fliO	flagellar biosynthesis protein FliO	3	3	0	0	-1.000000	S
CCNA_01004	flgB	flagellar basal-body rod protein FlgB	5	6	1	2	0.000000	NE
CCNA_01005	flgC	flagellar basal-body rod protein flgC	5	5	0	0	0.000000	NE
CCNA_01006	fliE	flagellar hook-basal body complex protein FliE	2	2	0	0	-1.000000	S
CCNA_01007	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01008	-	urocanate hydratase	15	15	0	0	0.000000	NE
CCNA_01009	-	N-formylglutamate deformylase	8	8	0	0	0.000000	NE
CCNA_01010	-	histidine ammonia-lyase	7	7	0	0	0.000000	NE
CCNA_01011	-	imidazolonepropionase	10	10	0	0	0.000000	NE
CCNA_01012	-	N-formimino-L-glutamate deiminase	9	9	0	0	0.000000	NE
CCNA_01013	-	histidine utilization repressor	3	3	0	0	0.000000	NE
CCNA_01014	-	cysteinyl-tRNA(Pro) deacylase	8	8	0	0	0.000000	NE
CCNA_01015	-	multicopper oxidase PcoA	11	12	1	2	0.000000	NE
CCNA_01016	-	copper resistance protein B	9	9	0	0	0.000000	NE
CCNA_01017	-	acyl-CoA synthetase	21	22	1	2	0.000000	NE
CCNA_01018	-	D-galactose 1-dehydrogenase	7	8	1	2	0.000000	NE
CCNA_01019	-	beta-glucosidase	23	25	1	2	0.000000	NE
CCNA_01020	-	LacI-family transcriptional regulator	5	5	0	0	0.000000	NE
CCNA_01021	-	TonB-dependent receptor	46	48	1	2	0.000000	NE
CCNA_01022	-	tryptophan halogenase superfamily protein	15	15	0	0	0.000000	NE
CCNA_01023	-	tryptophan halogenase superfamily protein	15	15	0	0	0.000000	NE
CCNA_01024	-	hypothetical protein	10	10	0	0	0.000000	NE
CCNA_01025	-	hypothetical protein	22	22	0	0	0.270100	U
CCNA_01026	-	hypothetical protein	22	22	0	0	0.264100	U
CCNA_01027	-	acetyltransferase	3	3	0	0	0.000000	NE
CCNA_01028	-	M17 family aminopeptidase	14	14	0	0	0.000000	NE
CCNA_01029	-	alpha-L-rhamnosidase	30	32	1	2	0.000000	NE
CCNA_01030	-	peptidyl-prolyl cis-trans isomerase	7	7	0	0	0.000000	NE
CCNA_01031	-	transporter, major facilitator superfamily	24	25	1	2	0.000000	NE
CCNA_01032	-	RNA polymerase ECF-type sigma factor	9	9	0	0	0.000000	NE
CCNA_01033	-	FecR family protein	7	9	1	2	0.000000	NE
CCNA_01034	-	TonB-dependent outer membrane receptor	41	43	1	2	0.000000	NE
CCNA_01035	-	gamma-glutamyltranspeptidase	21	22	1	2	0.000000	NE
CCNA_01036	-	M14 peptidase-family protein	29	29	0	0	0.491800	U
CCNA_01037	-	GntR-family transcriptional regulator	3	4	1	2	0.000000	NE
CCNA_01038	-	glyoxalase family protein	7	7	0	0	0.000000	NE
CCNA_01039	-	putative hexuronate transporter, major facilitator superfamily	8	10	2	8	0.000000	NE
CCNA_01040	-	beta-xylosidase/alpha-L-arabinofuranosidase	19	19	0	0	0.000000	NE
CCNA_01041	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_01042	-	TonB-dependent receptor	41	46	1	2	0.000000	NE
CCNA_01043	-	hypothetical protein	3	3	0	0	-1.000000	S
CCNA_01044	-	AcrR-family transcriptional regulator	8	8	0	0	0.000000	NE
CCNA_01045	-	conserved hypothetical cytosolic protein	1	1	0	0	-1.000000	S
CCNA_01046	-	peptide methionine sulfoxide reductase msrA	11	12	1	2	0.000000	NE
CCNA_01047	-	TonB-dependent receptor	55	56	1	2	0.000000	NE
CCNA_01048	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01049	-	hypothetical protein	3	3	0	0	0.000000	NE
CCNA_01050	-	ABC transporter ATP-binding protein	15	15	0	0	0.000000	NE
CCNA_01051	-	TonB-dependent receptor	37	38	1	2	0.000000	NE
CCNA_01052	-	SapC family protein	9	9	0	0	0.000000	NE
CCNA_01053	-	acetyltransferase	18	18	0	0	0.000000	NE
CCNA_01054	-	tryptophan halogenase	20	20	0	0	0.074800	U
CCNA_01055	-	GT1 family glyscosyl transferase	17	17	0	0	0.000000	NE
CCNA_01056	-	methyltransferase	9	9	0	0	0.000000	NE
CCNA_01057	-	conserved hypothetical protein	18	18	0	0	0.000000	NE
CCNA_01058	-	helix-turn-helix transcriptional regulator	8	8	0	0	0.000000	NE
CCNA_01059	rsaA	S-layer protein rsaA	25	28	2	89	0.000000	NE
CCNA_01060	rsaD	type I protein secretion ATP-binding protein RsaD	13	15	2	71	0.000000	NE
CCNA_01061	rsaE	type I secretion adaptor protein RsaE	9	10	1	2	0.000000	NE
CCNA_01062	-	GDP-mannose 4,6 dehydratase	13	13	0	0	0.000000	NE
CCNA_01063	perB	UDP-perosamine 4-acetyl transferase	4	5	1	2	0.000000	NE
CCNA_01064	-	perosamine synthetase	16	17	1	2	0.000000	NE
CCNA_01065	-	glycosyltransferase	14	14	0	0	0.000000	NE
CCNA_01066	-	glycosyltransferase	15	15	0	0	0.000000	NE
CCNA_01067	rsaFa	type I secretion outer membrane protein RsaFa	21	23	1	2	0.000000	NE
CCNA_01068	-	glycosyltransferase	14	15	1	2	0.000000	NE
CCNA_01069	-	methyltransferase	21	21	0	0	0.153200	U
CCNA_01070	-	conserved hypothetical protein	5	5	0	0	0.000000	NE
CCNA_01071	-	alpha-ketoglutarate permease	20	20	0	0	0.079700	U
CCNA_01072	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01073	-	zinc-finger protein	5	5	0	0	0.000000	NE
CCNA_01074	-	entericidin B-like protein	1	1	0	0	-1.000000	S
CCNA_01075	-	beta/gamma crystallin family protein	5	5	0	0	0.000000	NE
CCNA_01076	-	beta/gamma crystallin family protein	10	11	1	2	0.000000	NE
CCNA_01077	-	penicillin acylase	22	22	0	0	0.265500	U
CCNA_01078	-	methyltransferase	6	6	0	0	0.000000	NE
CCNA_01079	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01080	-	hypothetical protein	3	3	0	0	0.000000	NE
CCNA_01081	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_01082	-	hypothetical protein	9	9	0	0	0.000000	NE
CCNA_01083	-	HATPase superfamily protein	69	70	1	2	0.000000	NE
CCNA_01084	-	hypothetical protein	48	48	0	0	0.496600	U
CCNA_01085	-	DNA-cytosine methyltransferase	27	28	1	2	0.000000	NE
CCNA_01086	lepA	GTP-binding protein lepA	18	18	0	0	0.000000	NE
CCNA_01087	-	conserved hypothetical protein	13	13	0	0	0.000000	NE
CCNA_01088	-	conserved hypothetical membrane protein	3	3	0	0	0.000000	NE
CCNA_01089	-	conserved hypothetical protein	17	18	1	2	0.000000	NE
CCNA_01090	-	conserved hypothetical protein	15	15	0	0	0.000000	NE
CCNA_01091	-	peptide methionine sulfoxide reductase	14	14	0	0	0.000000	NE
CCNA_01092	-	ACT domain protein	1	1	0	0	-1.000000	S
CCNA_01093	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_01094	-	hypothetical protein	2	3	1	2	-1.000000	S
CCNA_01095	-	phenylalanyl-tRNA synthetase beta chain	1	20	14	1624	0.998900	E
CCNA_01096	-	phenylalanyl-tRNA synthetase alpha chain	0	6	6	728	1.000000	E
CCNA_01097	-	LSU ribosomal protein L20P	0	11	11	290	0.509400	U
CCNA_01098	-	LSU ribosomal protein L35P	1	3	2	11	-1.000000	S
CCNA_01099	-	tetracycline resistance protein	11	11	0	0	0.000000	NE
CCNA_01100	-	acylamino-acid-releasing enzyme	23	23	0	0	0.375400	U
CCNA_01101	-	translation initiation factor 3 (IF-3)	0	7	7	471	1.000000	E
CCNA_01102	-	conserved hypothetical membrane protein	7	7	0	0	0.000000	NE
CCNA_01103	-	ADP-heptose--LPS heptosyltransferase	4	6	2	86	0.000000	NE
CCNA_01104	-	glycosyltransferase	4	10	5	646	0.999900	E
CCNA_01105	-	alpha/beta hydrolase family protein	3	5	2	63	0.000000	NE
CCNA_01106	parD-2	antitoxin protein parD-2	3	3	0	0	0.000000	NE
CCNA_01107	parE-2	toxin protein parE-2	6	7	1	2	0.000000	NE
CCNA_01108	-	nucleoside-diphosphate-sugar epimerase	8	8	0	0	0.000000	NE
CCNA_01109	-	conserved hypothetical cytosolic protein	24	24	0	0	0.430700	U
CCNA_01110	-	2-dehydro-3-deoxygluconokinase	16	16	0	0	0.000000	NE
CCNA_01111	-	DnaA-related protein	2	2	0	0	-1.000000	S
CCNA_01112	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01113	-	rhodanese-related sulfurtransferase	10	10	0	0	0.000000	NE
CCNA_01114	sufE	cysteine desulfurase subunit SufE	1	3	1	2	0.000000	NE
CCNA_01115	-	two component sensor histidine kinase	3	4	1	2	-1.000000	S
CCNA_01116	divJ	histidine protein kinase DivJ	6	9	1	2	0.000000	NE
CCNA_01117	-	conserved hypothetical protein	9	9	0	0	0.000000	NE
CCNA_01118	-	conserved hypothetical protein	4	5	1	2	0.000000	NE
CCNA_01119	-	hypothetical protein	6	6	0	0	0.000000	NE
CCNA_01120	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01121	-	MA superfamily peptidase	23	25	1	2	0.000000	NE
CCNA_01122	-	MA superfamily peptidase	19	20	1	2	0.000000	NE
CCNA_01123	prfC	peptide chain release factor RF-3	7	8	1	2	0.000000	NE
CCNA_01124	-	histidinol-phosphate aminotransferase	11	11	0	0	0.000000	NE
CCNA_01125	-	conserved hypothetical protein	4	4	0	0	0.000000	NE
CCNA_01128	-	hypothetical protein	3	3	0	0	0.000000	NE
CCNA_01129	fliQ	flagellar biosynthesis protein FliQ	2	2	0	0	-1.000000	S
CCNA_01130	fliR	flagellar biosynthesis protein FliR	5	5	0	0	0.000000	NE
CCNA_01131	flhB	flagellar biosynthesis protein FlhB	6	6	0	0	0.000000	NE
CCNA_01132	cckA	sensory transduction histidine kinase/receiver protein CckA	3	17	10	731	1.000000	E
CCNA_01133	-	conserved hypothetical protein	10	10	0	0	0.000000	NE
CCNA_01134	-	LuxR-family transcriptional regulator	4	4	0	0	0.000000	NE
CCNA_01135	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01136	-	conserved hypothetical protein	11	11	0	0	0.000000	NE
CCNA_01137	-	ribosomal-protein-alanine acetyltransferase	5	5	0	0	0.000000	NE
CCNA_01138	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01139	-	conserved hypothetical cytosolic protein	24	25	1	2	0.000000	NE
CCNA_01140	-	PAS-containing EAL phosphodiesterase	9	10	1	2	0.000000	NE
CCNA_01141	recA	RecA protein	12	12	0	0	0.000000	NE
CCNA_01142	-	hypothetical protein	16	17	1	2	0.000000	NE
CCNA_01143	-	endoribonuclease L-PSP	3	3	0	0	0.000000	NE
CCNA_01144	-	cytochrome c oxidase polypeptide II	3	3	0	0	0.000000	NE
CCNA_01145	-	monoamine oxidase	28	29	1	2	0.000000	NE
CCNA_01147	-	acetyltransferase	5	6	1	2	0.000000	NE
CCNA_01148	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01149	-	TonB-dependent outer membrane receptor	50	54	4	41	0.001000	NE
CCNA_01151	-	DeoR-family transcriptional regulator	5	5	0	0	0.000000	NE
CCNA_01152	-	external DNA uptake/catabolism protein	10	10	0	0	0.000000	NE
CCNA_01153	-	chromate transport protein	6	6	0	0	0.000000	NE
CCNA_01154	-	conserved hypothetical protein	2	3	1	2	0.000000	NE
CCNA_01155	-	TonB-dependent outer membrane receptor	49	50	1	2	0.000000	NE
CCNA_01156	-	sulfotransferase family protein	7	7	0	0	0.000000	NE
CCNA_01157	-	protoporphyrinogen oxidase	22	24	1	2	0.000000	NE
CCNA_01158	-	hypothetical protein	22	22	0	0	0.270300	U
CCNA_01159	-	transporter, major facilitator superfamily	10	10	0	0	0.000000	NE
CCNA_01161	-	proton/sodium-glutamate symport protein	10	10	0	0	0.000000	NE
CCNA_01162	-	beta-D-glucoside glucohydrolase	23	24	1	2	0.000000	NE
CCNA_01163	-	ice nucleation protein	24	30	2	224	0.000000	NE
CCNA_01164	-	O-linked N-acetylglucosamine transferase	26	29	1	2	0.000000	NE
CCNA_01165	-	FkbM methyltransferase family protein	25	26	1	2	0.000000	NE
CCNA_01166	-	conserved hypothetical cytosolic protein	7	8	1	2	0.000000	NE
CCNA_01167	-	acyl-CoA dehydrogenase	17	17	0	0	0.000000	NE
CCNA_01168	-	3-ketoacyl-CoA thiolase	10	10	0	0	0.000000	NE
CCNA_01169	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_01170	-	TonB-dependent receptor	40	41	1	2	0.000000	NE
CCNA_01171	shpA	histidine phosphotransferase ShpA	5	5	0	0	0.000000	NE
CCNA_01172	-	AIM24 family protein	4	4	0	0	0.000000	NE
CCNA_01173	-	chorismate mutase	4	4	0	0	0.000000	NE
CCNA_01174	-	LysR-family transcriptional regulator	6	7	1	2	0.000000	NE
CCNA_01175	-	uroporphyrin-III C-methyltransferase	2	2	0	0	-1.000000	S
CCNA_01176	-	conserved hypothetical protein	4	4	0	0	0.000000	NE
CCNA_01177	cysI	sulfite reductase, beta subunit	18	19	1	2	0.000000	NE
CCNA_01178	-	conserved hypothetical protein	4	4	0	0	0.000000	NE
CCNA_01179	cysH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase	7	7	0	0	0.000000	NE
CCNA_01180	-	penicillin acylase	32	35	1	2	0.000000	NE
CCNA_01181	-	conserved hypothetical protein	4	5	1	2	0.000000	NE
CCNA_01182	-	glutathione S-transferase	11	11	0	0	0.000000	NE
CCNA_01183	-	zinc dependent phospholipase C/S1-P1 nuclease-family protein	18	19	1	2	0.000000	NE
CCNA_01184	-	MutT/nudix family hydrolase	3	3	0	0	0.000000	NE
CCNA_01185	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_01186	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01187	-	RNA polymerase ECF-type sigma factor	5	5	0	0	0.000000	NE
CCNA_01188	-	FecR family protein	6	6	0	0	0.000000	NE
CCNA_01189	-	TonB-dependent receptor	43	44	1	2	0.000000	NE
CCNA_01190	-	hypothetical protein	14	16	1	2	0.000000	NE
CCNA_01191	-	transporter, major facilitator superfamily	14	15	1	2	0.000000	NE
CCNA_01192	-	sugar kinase	10	10	0	0	0.000000	NE
CCNA_01193	-	amylosucrase	23	24	1	2	0.000000	NE
CCNA_01194	-	TonB-dependent receptor	38	42	2	113	0.000000	NE
CCNA_01195	-	LacI-family transcriptional regulator	9	10	1	2	0.000000	NE
CCNA_01196	-	iron-regulated outer membrane virulence protein	16	17	1	2	0.000000	NE
CCNA_01197	-	conserved hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01198	-	dTDP-4-dehydrorhamnose reductase	11	11	0	0	0.000000	NE
CCNA_01199	-	glucose-1-phosphate thymidylyltransferase	17	19	1	2	0.000000	NE
CCNA_01200	-	TonB-dependent receptor	34	34	0	0	0.498100	U
CCNA_01201	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_01202	-	membrane alanine aminopeptidase	37	37	0	0	0.496000	U
CCNA_01203	-	TonB-dependent receptor	22	22	0	0	0.263800	U
CCNA_01204	-	dTDP-glucose 4,6-dehydratase	16	16	0	0	0.000000	NE
CCNA_01205	-	ABC transporter ATP-binding protein	5	5	0	0	0.000000	NE
CCNA_01206	-	ABC transporter permease protein	10	10	0	0	0.000000	NE
CCNA_01207	-	two-component sensor histidine kinase	13	14	1	2	0.000000	NE
CCNA_01208	-	two-component response regulator	5	5	0	0	0.000000	NE
CCNA_01209	-	L-lactate dehydrogenase	9	9	0	0	0.000000	NE
CCNA_01210	-	nucleotidyltransferase family protein	8	8	0	0	0.000000	NE
CCNA_01211	-	MobA-like NTP transferase domain protein	7	9	1	2	0.000000	NE
CCNA_01212	-	dATP pyrophosphohydrolase	11	11	0	0	0.000000	NE
CCNA_01213	-	YjgP/YjgQ family membrane permease	7	9	1	2	0.000000	NE
CCNA_01214	-	YjgP/YjgQ family membrane permease	10	11	1	2	0.000000	NE
CCNA_01215	-	histidine triad (HIT) hydrolase	4	5	1	2	0.000000	NE
CCNA_01216	-	phosphohydrolase, Icc family	5	5	0	0	0.000000	NE
CCNA_01217	-	phosphatidylglycerophosphate synthase	14	14	0	0	0.000000	NE
CCNA_01218	-	sphingosine kinase/diacylglycerol kinase-related protein	1	2	1	2	-1.000000	S
CCNA_01219	-	putative cytosolic protein	11	11	0	0	0.000000	NE
CCNA_01220	-	7-keto-8-aminopelargonate synthetase	15	15	0	0	0.000000	NE
CCNA_01221	-	acyl carrier protein	5	6	1	2	0.000000	NE
CCNA_01222	-	NADH-ubiquinone oxidoreductase	12	12	0	0	0.000000	NE
CCNA_01223	-	acyl-CoA synthetase	17	18	1	2	0.000000	NE
CCNA_01224	-	O-antigen membrane transport protein	9	11	1	2	0.000000	NE
CCNA_01225	-	glycerophosphotransferase-related protein	15	15	0	0	0.000000	NE
CCNA_01226	-	conserved hypothetical protein	5	6	1	2	0.000000	NE
CCNA_01227	-	alkanesulfonate monoxygenase	7	8	1	2	0.000000	NE
CCNA_01228	-	pyrazinamidase/nicotinamidase	3	4	1	2	0.000000	NE
CCNA_01229	-	2-hydroxychromene-2-carboxylate isomerase	13	14	1	2	0.000000	NE
CCNA_01230	-	arylsulfatase family protein	22	22	0	0	0.265900	U
CCNA_01231	-	Formylglycine-generating sulfatase	11	12	1	2	0.000000	NE
CCNA_01232	-	conserved hypothetical protein	4	5	1	2	0.000000	NE
CCNA_01233	-	haloalkane dehalogenase	9	11	1	2	0.000000	NE
CCNA_01234	-	metal-dependent hydrolase	9	11	2	173	0.000000	NE
CCNA_01235	-	AcrR-family transcriptional regulator	4	4	0	0	0.000000	NE
CCNA_01236	-	general stress protein GsiB	3	3	0	0	0.000000	NE
CCNA_01237	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01238	-	EF-hand domain protein	5	7	1	2	0.000000	NE
CCNA_01239	-	two-component sensor histidine kinase	10	12	1	2	0.000000	NE
CCNA_01240	-	two-component response regulator	5	5	0	0	0.000000	NE
CCNA_01241	-	Zn-dependent hydrolase, glyoxalase II family	3	3	0	0	-1.000000	S
CCNA_01242	-	amino acid permease	24	27	1	2	0.000000	NE
CCNA_01243	-	ATP-dependent helicase hrpB	18	19	1	2	0.000000	NE
CCNA_01244	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_01245	-	23S rRNA methyltransferase	6	7	1	2	0.000000	NE
CCNA_01246	-	methyltransferase	9	9	0	0	0.000000	NE
CCNA_01247	-	CESA-like glycosyltransferase	11	12	1	2	0.000000	NE
CCNA_01248	-	TetR-family transcriptional regulator	5	5	0	0	0.000000	NE
CCNA_01249	-	ABC-transporter substrate binding protein	10	10	0	0	0.000000	NE
CCNA_01250	-	FecCD-family transporter protein	3	4	1	2	0.000000	NE
CCNA_01251	-	FepC-type transporter protein	2	2	0	0	-1.000000	S
CCNA_01252	-	soluble lytic murein transglycosylase	30	32	1	2	0.000000	NE
CCNA_01253	dapA	dihydrodipicolinate synthase	0	10	10	577	1.000000	E
CCNA_01254	smpB	SsrA-binding protein	3	4	1	2	0.000000	NE
CCNA_01255	-	hypothetical protein	3	3	0	0	-1.000000	S
CCNA_01256	-	conserved hypothetical protein	11	11	0	0	0.000000	NE
CCNA_01257	-	conserved hypothetical membrane protein	10	10	0	0	0.000000	NE
CCNA_01258	-	conserved hypothetical membrane protein	4	4	0	0	0.000000	NE
CCNA_01259	-	class II aldolase and Adducin protein	10	11	1	2	0.000000	NE
CCNA_01260	-	conserved hypothetical protein	8	9	1	2	0.000000	NE
CCNA_01261	-	periplasmic multidrug efflux lipoprotein precursor	7	7	0	0	0.000000	NE
CCNA_01262	acrB3	cation/multidrug efflux pump, AcrB family	26	28	1	2	0.000000	NE
CCNA_01263	-	pyruvate dehydrogenase E1 component	25	26	1	2	0.000000	NE
CCNA_01264	-	transposase, DDE family	8	9	1	2	0.000000	NE
CCNA_01265	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_01266	-	NTF2 superfamily protein	4	4	0	0	0.000000	NE
CCNA_01267	-	NTF2 superfamily protein	10	10	0	0	0.000000	NE
CCNA_01268	-	cytochrome c	7	7	0	0	0.000000	NE
CCNA_01269	-	GcrA superfamily protein	3	3	0	0	0.000000	NE
CCNA_01270	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_01271	-	MarR-family transcriptional regulator	6	6	0	0	0.000000	NE
CCNA_01272	-	peptidyl-tRNA hydrolase family protein	2	2	0	0	-1.000000	S
CCNA_01273	-	EMG2 protein	3	3	0	0	0.000000	NE
CCNA_01274	-	piperideine-6-carboxylate dehydrogenase	12	12	0	0	0.000000	NE
CCNA_01275	-	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5	6	1	2	0.000000	NE
CCNA_01276	-	cytochrome c5	3	3	0	0	0.000000	NE
CCNA_01277	-	FAD-linked oxidoreductase	11	11	0	0	0.000000	NE
CCNA_01278	-	conserved hypothetical protein	3	3	0	0	0.000000	NE
CCNA_01279	-	inorganic polyphosphate/ATP-NAD kinase	7	7	0	0	0.000000	NE
CCNA_01280	-	conserved hypothetical protein	2	4	2	59	0.000000	NE
CCNA_01281	glpK	glycerol kinase	13	16	2	107	0.000000	NE
CCNA_01282	-	gluconolactonase	8	9	1	2	0.000000	NE
CCNA_01283	-	NAD-dependent oxidoreductase	20	21	1	2	0.000000	NE
CCNA_01284	-	dienelactone hydrolase family protein	11	11	0	0	0.000000	NE
CCNA_01285	-	proline iminopeptidase	6	7	1	2	0.000000	NE
CCNA_01286	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_01287	-	epoxide hydrolase	11	11	0	0	0.000000	NE
CCNA_01288	-	multidrug resistance transporter, Bcr family	10	10	0	0	0.000000	NE
CCNA_01289	-	conserved hypothetical membrane protein	3	3	0	0	0.000000	NE
CCNA_01290	-	hypothetical protein	12	12	0	0	0.000000	NE
CCNA_01291	-	phosphotransferase family protein	7	7	0	0	0.000000	NE
CCNA_01292	-	hypothetical protein	3	4	1	2	0.000000	NE
CCNA_01293	-	hypothetical protein	9	9	0	0	0.000000	NE
CCNA_01294	-	transposase	8	9	1	2	0.000000	NE
CCNA_01295	-	integral membrane protein	4	5	1	2	0.000000	NE
CCNA_01296	stpX	stalk-specific protein X	12	12	0	0	0.000000	NE
CCNA_01297	-	23S rRNA Gm2251 methyltransferase	2	2	0	0	-1.000000	S
CCNA_01298	-	translation elongation factor Tu (EF-TU)	12	12	0	0	0.000000	NE
CCNA_01299	-	OmdA-family protein	8	9	1	2	0.000000	NE
CCNA_01300	fdhD	formate dehydrogenase accessory protein fdhD	1	1	0	0	-1.000000	S
CCNA_01301	-	NAD-dependent formate dehydrogenase alpha subunit	25	25	0	0	0.471100	U
CCNA_01302	-	acetyltransferase domain protein	13	13	0	0	0.000000	NE
CCNA_01303	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_01304	-	hypothetical protein	0	4	4	129	-1.000000	S
CCNA_01305	rpsJ	SSU ribosomal protein S10P	0	4	4	125	-1.000000	S
CCNA_01306	rplC	LSU ribosomal protein L3P	0	6	6	633	1.000000	E
CCNA_01307	rplD	LSU ribosomal protein L1E-L4P	0	5	5	411	0.999900	E
CCNA_01308	rplW	LSU ribosomal protein L23P	0	2	2	193	-1.000000	S
CCNA_01309	rplB	LSU ribosomal protein L2P	0	13	13	779	0.998800	E
CCNA_01310	rpsS	SSU ribosomal protein S19P	0	1	1	2	-1.000000	S
CCNA_01311	rplV	LSU ribosomal protein L22P	0	2	2	71	-1.000000	S
CCNA_01312	rpsC	SSU ribosomal protein S3P	0	7	7	577	1.000000	E
CCNA_01313	rplP	LSU ribosomal protein L16P	0	7	7	244	1.000000	E
CCNA_01314	rpmC	LSU ribosomal protein L29P	0	1	1	2	-1.000000	S
CCNA_01315	rpsQ	SSU ribosomal protein S17P	0	5	5	158	0.999900	E
CCNA_01316	rplN	LSU ribosomal protein L14P	1	4	2	148	0.071800	U
CCNA_01317	rplX	LSU ribosomal protein L24P	0	1	1	2	-1.000000	S
CCNA_01318	rplE	LSU ribosomal protein L5P	0	8	8	431	1.000000	E
CCNA_01319	rpsN	SSU ribosomal protein S14P	0	4	4	68	-1.000000	S
CCNA_01320	rpsH	SSU ribosomal protein S8P	0	7	7	369	1.000000	E
CCNA_01321	rplF	LSU ribosomal protein L6P	0	6	6	483	1.000000	E
CCNA_01322	rplR	LSU ribosomal protein L18P	0	2	2	170	-1.000000	S
CCNA_01323	rpsE	SSU ribosomal protein S5P	0	1	1	2	-1.000000	S
CCNA_01324	rpmD	LSU ribosomal protein L30P	1	2	1	2	-1.000000	S
CCNA_01325	rplO	LSU ribosomal protein L15P	1	3	1	2	0.000000	NE
CCNA_01326	secY	protein translocase subunit secY	0	23	23	1275	0.501400	U
CCNA_01327	adk	adenylate kinase/nucleoside-diphosphate kinase	0	5	5	186	0.999900	E
CCNA_01328	rpsM	SSU ribosomal protein S13P	0	5	5	272	0.999900	E
CCNA_01329	rpsK	SSU ribosomal protein S11P	0	2	2	159	-1.000000	S
CCNA_01330	rpoA	DNA-directed RNA polymerase alpha chain	0	9	9	750	1.000000	E
CCNA_01332	rplQ	LSU ribosomal protein L17P	1	6	5	300	0.999900	E
CCNA_01333	-	hypothetical protein	7	8	1	2	0.000000	NE
CCNA_01334	-	ABC2-family membrane transporter	2	2	0	0	-1.000000	S
CCNA_01335	-	ABC-type multidrug transport system, ATPase component	5	7	1	2	0.000000	NE
CCNA_01336	-	phosphodiesterase I/nucleotide pyrophosphatase	9	9	0	0	0.000000	NE
